seed,scenario,timestep,cka_drop,l2_drop,PAK_B1,PAK_B2,PAK_B3_L2,PAK_KARAT,PAK_B4_ORC
42,S1_targeted,0,0.0,0.0,0.3267,0.9387,0.9387,0.9387,0.9973
42,S1_targeted,2,0.0075,0.00167,0.3267,0.9293,0.9827,0.9333,0.9960
42,S1_targeted,4,0.019,0.00337,0.3267,0.9133,0.9933,0.9333,0.9947
42,S1_targeted,6,0.0392,0.005279,0.3267,0.868,0.9853,0.9227,0.9920
42,S1_targeted,8,0.0672,0.004458,0.3267,0.812,0.964,0.8987,0.9747
42,S1_targeted,10,0.0909,-0.000667,0.3267,0.6907,0.6907,0.836,0.9133
42,S2_coordinated,0,0.0,0.0,0.3267,0.9387,0.9387,0.9387,0.9973
42,S2_coordinated,2,0.0011,-0.000075,0.3267,0.932,0.932,0.932,0.9947
42,S2_coordinated,4,0.002,-0.002547,0.3267,0.928,0.928,0.928,0.9933
42,S2_coordinated,6,0.0064,-0.00901,0.3267,0.8973,0.8973,0.9027,0.9907
42,S2_coordinated,8,0.0131,-0.018234,0.3267,0.9,0.9,0.9067,0.9813
42,S2_coordinated,10,0.0349,-0.032059,0.3267,0.8347,0.8347,0.8533,0.9400
42,S3_cascading,0,0.0,0.0,0.3267,0.9387,0.9387,0.9387,0.9973
42,S3_cascading,2,0.0022,-0.000722,0.3267,0.9307,0.9307,0.9307,0.9960
42,S3_cascading,4,0.004,-0.002445,0.3267,0.9253,0.9253,0.9293,0.9947
42,S3_cascading,6,0.0083,-0.005217,0.3267,0.9067,0.9067,0.9173,0.9907
42,S3_cascading,8,0.0066,-0.011531,0.3267,0.8933,0.8933,0.8987,0.9867
42,S3_cascading,10,0.0057,-0.018899,0.3267,0.884,0.884,0.8893,0.9800
7,S1_targeted,0,0.0,0.0,0.3121,0.9387,0.9387,0.9387,0.9973
7,S1_targeted,2,0.0078,0.001821,0.3121,0.9280,0.9840,0.9320,0.9960
7,S1_targeted,4,0.0195,0.003541,0.3121,0.9107,0.9920,0.9307,0.9947
7,S1_targeted,6,0.0401,0.005501,0.3121,0.8640,0.9827,0.9200,0.9920
7,S1_targeted,8,0.0681,0.004621,0.3121,0.8080,0.9613,0.8960,0.9747
7,S1_targeted,10,0.0921,-0.000521,0.3121,0.6867,0.6867,0.8333,0.9133
7,S2_coordinated,0,0.0,0.0,0.3121,0.9387,0.9387,0.9387,0.9973
7,S2_coordinated,2,0.0012,-0.000081,0.3121,0.9307,0.9307,0.9307,0.9947
7,S2_coordinated,4,0.0021,-0.002601,0.3121,0.9267,0.9267,0.9267,0.9933
7,S2_coordinated,6,0.0067,-0.009187,0.3121,0.8960,0.8960,0.9013,0.9907
7,S2_coordinated,8,0.0135,-0.018571,0.3121,0.8987,0.8987,0.9053,0.9813
7,S2_coordinated,10,0.0355,-0.032721,0.3121,0.8320,0.8320,0.8507,0.9400
7,S3_cascading,0,0.0,0.0,0.3121,0.9387,0.9387,0.9387,0.9973
7,S3_cascading,2,0.0023,-0.000737,0.3121,0.9293,0.9293,0.9293,0.9960
